caseID,verbatim
1, DICK CHENEY IS VICE PRESIDENT 
4, HE WORKED FOR GEORGE BUSH FOR SOMETHING 
5, vice president 
8, vice president 
10, VICE PRESIDENT 
12, VICE PRESIDENT 
14, vice president 
15, I DON'T LIKE HIM// SKIP IT// 
18, don't know 
19, VICE PRESIDENT 
23, vice president 
28, vice president// 
30, vice president 
32, vice president 
34, vice president 
36, don't know 
37, vice president 
39, vice president 
42, democrat 
44, vice president 
46, vice president 
48, vice president 
50, vice president 
52, vice president 
55, vice president 
57, congress 
59, don't know 
60, vice president 
62, vice bpresident 
65, vice president 
67, vice president 
69, vice president 
72, vice president 
74, i just can't remember today 
76, vice president 
78, vice president 
79, senator 
81, vice president 
83," forgot what he's done, foreign affairs  "
85, vice president 
89, FOREIGN POLICY 
90, I know the name but I dk//dk 
92, vice president  
96, something in the government 
98, Vice President 
101, vice president 
103, I don't know 
106, vice president 
108, vice president 
110, vice president 
112, republican 
114, /representative/ 
117, vice president 
119, vice president 
121, vice prsident 
123, vp? 
125, vice president 
127, vice president 
130, vice president 
132, vice president 
134, vice president 
137, vice president 
139, vice president 
144, vice president 
146, vice president 
148, vice president 
149, senate 
151, vice president 
153, vice president 
157, vice president 
160, vise-president 
161, don't know// 
162, isn't he gop leader? 
164, don't know 
166, vice president 
167," he's behind the president some where, somewhere in the congree i think "
169, dk 
172, don't know 
176, vice president 
178, vice president 
180, vice president 
182, vice president 
183," vice president,(darth vader?) "
184, i don't know//isn't he like vice president or something? 
186," i think he , omy goodness, vice president i think, i'm embarrassed "
187, i don't know// don't know 
188, vice president 
192, vice president 
194, representative 
195, vice president 
198, vice president 
200, Vice President of US 
201, republican//democratic 
202, vie president 
204, vice president of republican party 
206, d/k//no 
207, vice pres 
209, vice president 
211, vice president 
216, dont know 
219, i don't know//representative 
222, VICE PRESIDENT// 
228, he is the vice president/ 
229, d/k// 
231, DK//NO 
232, VICE PRESIDENT// 
234, vice president 
237, vice president 
239, Vice President 
241, dk// vice President 
242, vice President 
245, sECRETARY OF dEFENSE 
247, Vice Presiedent 
249, vICE pESIDENT 
253, vice president us  
254, senater 
255, vice president 
257, vice president 
259, vice president 
260, NOT SURE NOT POSITIVE HEARD OF HIM 
265, VICE PRESIDENT 
266, FOUR STAR 
268, vice president 
271, vice president 
273, dont know h 
274, vice president 
275, vice president of the evil empire 
278, vice president 
279, vice president currently of the united states 
282, vice president 
283, vice president unfortunately 
286, congress 
288, vice president 
291, vice president 
294, vice president 
299, vice president 
300, secretary of state 
302, vice president 
304, vice president 
306, vice president 
308, I don't know 
309, it's not vice president it's close to that 
315, vice president 
317, vice president 
320, vice president 
321, i don't pay attention to none of those guys// I don't know 
323," I am not sure, governor "
325, vice president of the u.s. 
326,     these questions make me what to research them//no 
327, vice president 
329, vice president 
331, vice president 
337, vice president 
339, vice president 
341, vice president-second in command 
343, Vice President 
345, vice president 
347, vice president 
348," not sure, not positive,//don't know "
349, none 
351, republican 
355, vp 
357, vp 
359, vp 
361, vp 
363, vp 
364, dept defense 
366, vp 
368, vp 
370, vp 
373, vice president 
376, vice president 
378, vice president 
381, cabnet 
382, vice president 
386, vice president 
387, no se 
390, vice president 
393, '//' governor no 
394, vice president 
396, councelman 
398, vp 
