caseID,verbatim,1,2,3,5,7,8,9,10,11,12,13,14,15,16,18,19,20,22,23,26,27,28,29,30,32,33,34,35,36,37,38,95,96,97
4,HE LURED MORE BLACK VOTERS TO VOTE//N0 ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0
9,BECAUSE MORE PEOPLE VOTED FOR HIM//NO ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0
13,"because of TV and media// pushing a black, African-American man... as a change//no ",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0
19,"IT WAS ONE OF THOSE TIMES IN HISTORY WHERE CONDITIONS, EVENTS, AND A PERSON ALL CAME TOGETHER... IT DOESN'T HAPPEN THAT OFTEN, BUT IT HAPPENED THIS TIME.  THE SOCIAL CLIMATE, THE ENOMONY, THE CHARISMA OF THE CANDIDAATE, THE HOPEFULNESS, ESPECIALLY OF THE YOUNG PEOPLE, AND AN EXTREMELY GOOD ORGANIZATION... IT WAS A MOMENT.//NO ",0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,1,1,0,0,0,0,0,0,0,1,0,0
49,Because he promises change//because he is black//because he is good looking and young//the media liked him best//no ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0
62,he spend alot of money on his campain he is more polished ,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
88,"he is charasmatic speaker, had the celebrity thing going, looked good on camera; everyone tied mccain to bush and obama sold that idea very well. ",0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,1,0,0,1,0,0,0,1,0,0,0,0
141,an uninformed electorate and a biased media and too many people wanting something for nothing.  Too many people depending on the gov for their well being.  Too many people wanting the safety net to become a hammock.  Some voter fraud. // ,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,1,0,0,0
152,"i think in general the media did not clearly report his positions on abortion, taxes, size of gov.,and associations. Also, as a black man he brought out the hope of a minority becoming president, and that I applaud. ",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1
167,"because he is differnt, younger, put out more promises to people than mccain, medical , taxes, he has all around good ideas to help everyone in our country, mccain had a bigger heart for our troops, i think we should bring them all home ",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0
207,"he had a better campaign and got more persons to vote, they dont know why they voted byt they voted ",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0
210,"well because they were a loit more blacks that voted this time, i think young people voted for him for youth, i dont think he told the truth//no ",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,1
