caseID,verbatim,1,3,4,11,21,22,23,24,95,96,97
1, DICK CHENEY IS VICE PRESIDENT ,0,0,1,0,0,0,0,0,0,0,0
3, vice president ,0,0,1,0,0,0,0,0,0,0,0
4, HE WORKED FOR GEORGE BUSH FOR SOMETHING ,0,0,0,0,0,0,1,1,0,0,0
5, vice president ,0,0,1,0,0,0,0,0,0,0,0
7, VICE PRESIDENT ,0,0,1,0,0,0,0,0,0,0,0
8, vice president ,0,0,1,0,0,0,0,0,0,0,0
9, VICE PRESIDENT ,0,0,1,0,0,0,0,0,0,0,0
10, VICE PRESIDENT ,0,0,1,0,0,0,0,0,0,0,0
11, HE IS VICE PRESIDENT// ,0,0,1,0,0,0,0,0,0,0,0
12, VICE PRESIDENT ,0,0,1,0,0,0,0,0,0,0,0
13, Vice President ,0,0,1,0,0,0,0,0,0,0,0
14, vice president ,0,0,1,0,0,0,0,0,0,0,0
15, I DON'T LIKE HIM// SKIP IT// ,0,0,0,0,0,0,0,0,0,1,1
16, vice president ,0,0,1,0,0,0,0,0,0,0,0
17, NO IDEA ,0,0,0,0,0,0,0,0,1,0,0
18, don't know ,0,0,0,0,0,0,0,0,1,0,0
19, VICE PRESIDENT ,0,0,1,0,0,0,0,0,0,0,0
20, vice president ,0,0,1,0,0,0,0,0,0,0,0
21, i've heard his name// no ,0,0,0,0,0,0,0,0,0,1,1
22, Senator ,0,0,0,0,0,0,0,1,0,0,0
23, vice president ,0,0,1,0,0,0,0,0,0,0,0
24," we're not into bush did not know what office he held, did hear of his name before ",0,0,0,0,0,0,0,0,1,0,1
25, vice president// ,0,0,1,0,0,0,0,0,0,0,0
27, no idea// ,0,0,0,0,0,0,0,0,1,0,0
28, vice president// ,0,0,1,0,0,0,0,0,0,0,0
29, vice president ,0,0,1,0,0,0,0,0,0,0,0
30, vice president ,0,0,1,0,0,0,0,0,0,0,0
31, vice president ,0,0,1,0,0,0,0,0,0,0,0
32, vice president ,0,0,1,0,0,0,0,0,0,0,0
