caseID,verbatim,1,4,11,14,23,24,95,96,97
1, CHEIF JUSTICE OF SUPREME COURT ,1,0,0,0,0,0,0,0,0
3, //IR does not recognize the name// ,0,0,0,0,0,0,1,0,0
4, SOMEONE IN GOVERNMENT ,0,0,0,0,0,1,0,0,0
5, supreme court ,0,0,0,1,0,0,0,0,0
7," IR DOES NOT KNOW WHO HE IS, THE NAME DOES NOT RING A BELL, IR IS NOT A REAL POLITICAL PERSON AS FAR AS WHO'S WHO.  ",0,0,0,0,0,0,1,0,1
8," IR does not recognize the name, does not know what position he holds now ",0,0,0,0,0,0,1,0,0
9," R DOES NOT CARE TO GUESS, R HAS NEVER HEARD THAT NAME BEFORE ",0,0,0,0,0,0,1,1,0
10," R IS IS NOT FAMILIAR WITH THE PERSON, BUT HAS HEARD THE NAME// ",0,0,0,0,0,0,1,0,1
11, //ALABAMA POLITICIAN// ,0,0,0,0,0,1,0,0,0
12, RECOGNIZES THE NAME BUT DOES NOT HAVE ANY IDEA WHAT OFFICE HE NOW HOLDS ,0,0,0,0,0,0,1,0,1
13, don't know ,0,0,0,0,0,0,1,0,0
14, one of the big lawyers in the... my mind's gone black... they're all lawyers ,0,0,0,0,0,1,1,0,0
15, DON'T KNOW ,0,0,0,0,0,0,1,0,0
16, don't remember ,0,0,0,0,0,0,1,0,0
17, DON'T KNOW ,0,0,0,0,0,0,1,0,0
18, don't know ,0,0,0,0,0,0,1,0,0
19, CHIEF JUSTICE OF THE US SUPREME COURT ,1,0,0,0,0,0,0,0,0
20, chief justice of the supreme court ,1,0,0,0,0,0,0,0,0
21, don't know ,0,0,0,0,0,0,1,0,0
22," IR does not recognize the name, has no guess ",0,0,0,0,0,0,1,0,0
23, house of representatives ,0,0,0,0,0,1,0,0,0
24, works in the Congress// ,0,0,0,0,1,0,0,0,0
25, representative of republicans// ,0,0,0,0,0,1,0,0,0
27, no idea// ,0,0,0,0,0,0,1,0,0
28, congressman in house of representatives ,0,0,0,0,0,1,0,0,0
29, enviorment ,0,0,0,0,0,1,0,0,0
